video_id,category,likes,dislikes,views,comments
V2560,1,55,2,2143,6
V2561,2,1071,19,30000,49
V2564,1,79,33,2,27
V2572,3,241,13,1506,30
V2583,4,5,9,55,19
V2584,1,39,55,231,21
V2594,5,209,13,2000,12
V2608,6,9,52,58,22
V2609,4,196,44,121,21
V2630,1,22,63,593,44
V2654,5,77,47,270,45
V2660,7,8,81,390,1
V2663,6,43,28,987,32
V2665,1,20,75,371,31
V2668,1,5,12,162,15
V26V,1,5,91,229,46
V2706,1,14,64,540,16
V2715,1,22,97,1152,44
V2723,1,48,10,860,11
V2732,1,6,8,35,15
V2733,8,40,31,723,18
V2740,8,16,92,779,67
V2754,8,101,69,223,21
V2755,8,72,3,50,33
V2766,9,66,67,1500,38
V2767,9,7,92,507,30
V2768,9,156,100,255,23
V2773,1,5,12,100,25
V2825,1,16,32,246,28
V2834,1,5,85,265,49
V2845,3,3,37,839,10
V2846,3,3,28,378,21
V2847,3,450,52,39,39
V2851,2,14,73,1047,24
V2856,2,7,2,10635,27
V2861,9,6,84,63,39
V2862,10,41,41,3798,47
V2866,10,8,54,78,49
V2869,4,21,74,506,18
V2870,4,41,22,1000,30
V2872,4,96,14,2586,5
V2875,4,4,30,490,21
V2877,4,121,48,4879,8
V2884,4,31,71,7463,5
V2885,4,501,48,9600,9
V2921,4,234,10,1710,11
V2922,4,181,38,246,27
V2925,4,72,30,490,59
V2937,4,57,82,506,60
V2951,4,161,60,309,30
V2954,4,219,92,677,58
V2955,4,294,71,979,47
V2958,4,155,62,671,11
V4975,4,200,53,490,30
V4976,4,24,4,627,67
V4983,4,271,98,515,12
V4986,4,395,22,2390,45
V4987,4,485,10,1700,36
V4992,1,86,25,881,28
V4996,1,316,83,583,68
V4999,1,477,38,498,17
V5000,1,78,23,733,12
V5016,1,491,15,742,5
V5018,1,344,70,734,10
V5019,1,331,42,847,43
V5025,6,24,37,128,35
V5026,6,398,20,870,24
V5027,6,101,88,281,7
V5028,6,337,35,620,43
V5030,6,292,75,387,68
V5032,6,130,22,872,24
V5033,6,301,50,688,44
V5034,6,500,60,1540,38
V5038,6,411,18,1180,12
V5039,8,57,53,230,49
V5040,8,20,61,706,49
V5041,8,351,82,1540,30
V5042,8,470,55,2780,50
V5043,4,94,58,255,65
V5044,4,268,91,502,48
V5045,4,303,75,507,57
V5046,3,486,75,3360,50
V5047,3,377,27,2360,7
V5048,3,45,11,950,49
V5049,3,487,67,502,5
V5050,3,419,61,614,37
V5051,3,490,12,571,23
V5052,3,207,41,533,38
V5053,3,150,60,804,57
V5054,3,458,62,616,38
V5055,3,85,55,878,58
V5057,3,229,52,494,3
V5058,1,125,28,663,63
V5059,1,459,86,556,47
V5060,1,492,29,904,50
V5062,10,197,82,949,37
V5063,10,121,98,609,64
V5064,10,26,89,961,16
V5065,10,474,92,957,10
V5066,10,157,33,979,54
V5069,10,420,21,533,66
V5070,8,305,44,711,35
V5071,8,321,14,776,19
V5072,8,498,76,764,18
V5073,3,327,89,804,58
V5074,3,267,10,530,37
V5075,3,336,73,727,37
V5076,3,480,64,713,70
V5079,3,240,53,728,13
V5080,3,477,83,516,37
V5081,3,413,33,747,16
V5082,3,324,79,853,62
V5085,3,315,31,758,21
V5086,1,103,11,614,56
V5088,1,37,99,998,38
V50V,1,139,68,996,29
V5104,1,159,86,572,20
V5106,1,270,32,856,58
V5108,1,265,37,510,23
V5109,4,120,59,578,53
